year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,graham-hill,Graham Hill,lotus,1,80,4,0,1,1139.090585,1159.349998,20.259413,1.0,0.594812,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,piers-courage,Piers Courage,brabham,2,80,9,0,2,1027.444452,1052.597403,25.152951,0.933333,0.430274,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jo-siffert,Jo Siffert,lotus,3,80,5,0,3,1090.675622,1107.816389,17.140767,0.866667,0.523851,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,richard-attwood,Richard Attwood,lotus,4,80,10,0,4,1029.812707,1048.125733,18.313026,0.8,0.433739,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,bruce-mclaren,Bruce McLaren,mclaren,5,79,11,0,5,1116.527019,1125.093426,8.566407,0.733333,0.562005,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,denny-hulme,Denny Hulme,mclaren,6,78,12,0,6,1194.574573,1194.306323,-0.26825,0.666667,0.672032,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,vic-elford,Vic Elford,cooper,7,74,16,0,7,1013.506993,1023.006643,9.499649,0.6,0.410007,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jacky-ickx,Jacky Ickx,brabham,DNF,48,7,1,8,1051.17296,1054.579329,3.406369,0.533333,0.465206,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jackie-stewart,Jackie Stewart,matra,DNF,22,1,1,9,1189.227564,1179.317819,-9.909745,0.466667,0.664862,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jean-pierre-beltoise,Jean-Pierre Beltoise,matra,DNF,20,3,1,10,1073.04249,1068.159368,-4.883122,0.4,0.497662,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,chris-amon,Chris Amon,ferrari,DNF,16,2,1,11,1047.795576,1041.451763,-6.343813,0.333333,0.46021,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,pedro-rodriguez,Pedro Rodríguez,brm,DNF,15,14,1,12,1107.833163,1092.03858,-15.794583,0.233333,0.549225,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,silvio-moser,Silvio Moser,brabham,DNF,15,15,1,13,949.629458,945.238358,-4.391099,0.233333,0.321155,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jack-brabham,Jack Brabham,brabham,DNF,9,8,1,14,1062.51957,1043.418093,-19.101476,0.1,0.48203,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,john-surtees,John Surtees,brm,DNF,9,6,1,15,1097.788691,1076.069184,-21.719507,0.1,0.53439,50.0,16
1969,3,1969-05-18,monaco,Grand Prix de Monaco 1969,176,jackie-oliver,Jackie Oliver,brm,DNF,0,13,1,16,1005.544918,985.617931,-19.926986,0.0,0.39854,50.0,16
