year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jochen-rindt,Jochen Rindt,lotus,1,108,1,0,1,1049.743577,1075.656309,25.912732,1.0,0.481745,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,piers-courage,Piers Courage,brabham,2,108,9,0,2,1025.22009,1049.956852,24.736762,0.941176,0.446441,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,john-surtees,John Surtees,brm,3,106,11,0,3,1013.177962,1035.833112,22.65515,0.882353,0.42925,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jack-brabham,Jack Brabham,brabham,4,106,10,0,4,1059.088267,1075.502083,16.413816,0.823529,0.495253,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,pedro-rodriguez,Pedro Rodríguez,ferrari,5,101,12,0,5,1084.4722,1096.111442,11.639241,0.764706,0.531921,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,silvio-moser,Silvio Moser,brabham,6,98,17,0,6,931.210899,950.624493,19.413594,0.705882,0.31761,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,johnny-servoz-gavin,Johnny Servoz-Gavin,matra,NC,92,15,1,7,1023.2651,1033.435937,10.170837,0.647059,0.443642,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,graham-hill,Graham Hill,lotus,DNF,90,4,1,8,1153.637567,1151.579918,-2.057649,0.588235,0.629388,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jacky-ickx,Jacky Ickx,brabham,DNF,77,8,1,9,1136.23073,1132.430435,-3.800295,0.529412,0.605418,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,george-eaton,George Eaton,brm,DNF,76,18,1,10,1000.0,1002.999387,2.999387,0.470588,0.4106,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jean-pierre-beltoise,Jean-Pierre Beltoise,matra,DNF,72,7,1,11,1117.879851,1109.484458,-8.395393,0.411765,0.579673,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,denny-hulme,Denny Hulme,mclaren,DNF,52,2,1,12,1131.286285,1119.007119,-12.279166,0.352941,0.598524,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jackie-stewart,Jackie Stewart,matra,DNF,35,3,1,13,1231.923979,1210.151717,-21.772262,0.294118,0.729563,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,pete-lovely,Pete Lovely,lotus,DNF,25,16,1,14,1003.734352,994.705778,-9.028573,0.235294,0.415866,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jackie-oliver,Jackie Oliver,brm,DNF,23,14,1,15,946.739639,938.672589,-8.06705,0.176471,0.337812,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,jo-siffert,Jo Siffert,lotus,DNF,3,5,1,16,1107.87525,1084.013475,-23.861774,0.088235,0.565471,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,mario-andretti,Mario Andretti,lotus,DNF,3,13,1,17,948.061728,935.495708,-12.56602,0.088235,0.339556,50.0,18
1969,10,1969-10-05,united-states,1969 United States Grand Prix,183,bruce-mclaren,Bruce McLaren,mclaren,DNS,,6,2,18,1163.147946,1131.034609,-32.113337,0.0,0.642267,50.0,18
