year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,jackie-stewart,Jackie Stewart,tyrrell,1,95,2,0,1,1652.722385,1660.441912,7.719527,1.0,0.678353,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,denny-hulme,Denny Hulme,mclaren,2,95,4,0,2,1601.200256,1609.464077,8.263821,0.952381,0.608055,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,jacky-ickx,Jacky Ickx,ferrari,3,95,8,0,3,1582.274504,1590.044253,7.769748,0.904762,0.581022,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,clay-regazzoni,Clay Regazzoni,ferrari,4,95,6,0,4,1549.078248,1556.866759,7.788511,0.857143,0.532622,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,tim-schenken,Tim Schenken,surtees,5,95,11,0,5,1498.701004,1507.128841,8.427837,0.809524,0.458364,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,ronnie-peterson,Ronnie Peterson,march,6,94,10,0,6,1574.568258,1579.176856,4.608598,0.761905,0.56988,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,carlos-reutemann,Carlos Reutemann,brabham,7,93,1,0,7,1500.0,1506.096354,6.096354,0.714286,0.460271,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,henri-pescarolo,Henri Pescarolo,march,8,93,15,0,8,1535.476373,1539.174472,3.698099,0.666667,0.512579,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,howden-ganley,Howden Ganley,brm,9,93,13,0,9,1503.216778,1506.913974,3.697196,0.619048,0.464998,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,helmut-marko,Helmut Marko,brm,10,93,19,0,10,1489.441179,1492.480178,3.038999,0.571429,0.444804,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,niki-lauda,Niki Lauda,march,11,93,22,0,11,1494.719163,1496.429989,1.710826,0.52381,0.452525,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,emerson-fittipaldi,Emerson Fittipaldi,lotus,DNF,61,5,1,12,1549.448514,1548.0811,-1.367415,0.47619,0.533166,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,francois-cevert,François Cevert,tyrrell,DNF,59,7,1,13,1553.089316,1549.879213,-3.210103,0.404762,0.538516,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,reine-wisell,Reine Wisell,brm,DNF,59,17,1,14,1527.633498,1525.323743,-2.309755,0.404762,0.501002,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,peter-revson,Peter Revson,mclaren,DNF,49,3,1,15,1467.669212,1465.751573,-1.917639,0.333333,0.413235,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,mario-andretti,Mario Andretti,ferrari,DNF,20,9,1,16,1464.429097,1461.480209,-2.948888,0.285714,0.408585,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,andrea-de-adamich,Andrea de Adamich,surtees,DNF,11,14,1,17,1455.009781,1450.669034,-4.340747,0.214286,0.39515,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,graham-hill,Graham Hill,brabham,DNF,11,16,1,18,1563.065992,1554.933671,-8.13232,0.214286,0.553132,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,alex-soler-roig,Alex Soler-Roig,brm,DNF,1,21,1,19,1445.456396,1439.153549,-6.302847,0.119048,0.381666,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,peter-gethin,Peter Gethin,brm,DNF,1,18,1,20,1520.035037,1511.13738,-8.897657,0.119048,0.489783,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,david-walker,David Walker,lotus,DSQ,8,20,2,21,1494.116348,1484.419794,-9.696554,0.047619,0.451642,24.0,22
1972,1,1972-01-23,argentina,Gran Premio de Argentina 1972,chris-amon,Chris Amon,matra,DNS,,12,2,22,1575.099151,1561.40356,-13.695591,0.0,0.57065,24.0,22
