year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,peter-revson,Peter Revson,mclaren,1,67,3,0,1,1110.635263,1131.24112,20.605857,1.0,0.587883,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,ronnie-peterson,Ronnie Peterson,lotus,2,67,1,0,2,1138.130041,1155.094967,16.964926,0.964286,0.624987,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,denny-hulme,Denny Hulme,mclaren,3,67,2,0,3,1228.121599,1237.760336,9.638737,0.928571,0.735797,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,james-hunt,James Hunt,march,4,67,11,0,4,1029.416639,1050.35808,20.941441,0.892857,0.474028,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,francois-cevert,François Cevert,tyrrell,5,67,7,0,5,1187.509643,1195.960471,8.450828,0.857143,0.688126,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,carlos-reutemann,Carlos Reutemann,brabham,6,67,8,0,6,1034.653749,1051.65366,16.999911,0.821429,0.48143,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,clay-regazzoni,Clay Regazzoni,brm,7,67,10,0,7,1064.426611,1077.536742,13.110131,0.785714,0.523512,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,jacky-ickx,Jacky Ickx,ferrari,8,67,19,0,8,1101.091465,1109.853659,8.762194,0.75,0.574756,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,howden-ganley,Howden Ganley,iso-marlboro,9,66,18,0,9,1025.42369,1037.718493,12.294803,0.714286,0.46839,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,jackie-stewart,Jackie Stewart,tyrrell,10,66,4,0,10,1255.112548,1250.789094,-4.323454,0.678571,0.765041,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,mike-beuttler,Mike Beuttler,march,11,65,24,0,11,1000.971389,1011.412732,10.441343,0.642857,0.43403,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,niki-lauda,Niki Lauda,brm,12,63,9,0,12,992.024508,1001.303193,9.278685,0.607143,0.421569,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,rikky-von-opel,Rikky von Opel,ensign,13,61,21,0,13,999.098113,1006.098784,7.000671,0.571429,0.431415,50.0,29
1973,9,1973-07-14,great-britain,1973 John Player British Grand Prix,229,wilson-fittipaldi,Wilson Fittipaldi,brabham,DNF,44,13,1,14,989.101132,995.011122,5.90999,0.535714,0.417514,50.0,29
