year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,jackie-stewart,Jackie Stewart,tyrrell,1,72,2,0,1,1250.789094,1263.16765,12.378556,1.0,0.752429,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,francois-cevert,François Cevert,tyrrell,2,72,3,0,2,1195.960471,1209.332786,13.372315,0.956522,0.689075,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,james-hunt,James Hunt,march,3,72,7,0,3,1050.35808,1071.345571,20.987491,0.913043,0.493294,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,peter-revson,Peter Revson,mclaren,4,72,6,0,4,1131.24112,1144.440524,13.199404,0.869565,0.605577,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,jean-pierre-beltoise,Jean-Pierre Beltoise,brm,5,72,9,0,5,1025.942173,1044.299471,18.357298,0.826087,0.458941,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,gijs-van-lennep,Gijs van Lennep,iso-marlboro,6,70,20,0,6,991.897774,1010.449555,18.551781,0.782609,0.411573,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,carlos-pace,Carlos Pace,surtees,7,69,8,0,7,975.643463,993.13157,17.488107,0.73913,0.389368,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,clay-regazzoni,Clay Regazzoni,brm,8,68,12,0,8,1077.536742,1085.743304,8.206562,0.695652,0.531521,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,howden-ganley,Howden Ganley,iso-marlboro,9,68,15,0,9,1037.718493,1046.55258,8.834087,0.652174,0.475492,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,george-follmer,George Follmer,shadow,10,67,22,0,10,972.253385,983.449097,11.195711,0.608696,0.384781,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,ronnie-peterson,Ronnie Peterson,lotus,11,66,1,0,11,1155.094967,1151.49215,-3.602817,0.565217,0.637274,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,graham-hill,Graham Hill,shadow,NC,56,17,1,12,1055.353641,1056.424022,1.070381,0.521739,0.500332,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,mike-hailwood,Mike Hailwood,surtees,DNF,52,24,1,13,951.72271,957.766484,6.043774,0.478261,0.357385,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,niki-lauda,Niki Lauda,brm,DNF,51,11,1,14,1001.303193,1001.814261,0.511068,0.434783,0.424561,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,denny-hulme,Denny Hulme,mclaren,DNF,31,4,1,15,1237.760336,1220.421602,-17.338734,0.391304,0.738079,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,wilson-fittipaldi,Wilson Fittipaldi,brabham,DNF,27,13,1,16,995.011122,991.609317,-3.401805,0.347826,0.415862,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,chris-amon,Chris Amon,tecno,DNF,22,19,1,17,1105.814314,1092.487672,-13.326642,0.304348,0.570881,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,carlos-reutemann,Carlos Reutemann,brabham,DNF,9,5,1,18,1051.65366,1039.941189,-11.712471,0.26087,0.495119,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,david-purley,David Purley,march,DNF,8,21,1,19,970.406609,962.161689,-8.24492,0.217391,0.38229,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,roger-williamson,Roger Williamson,march,DNF,7,18,1,20,988.187738,976.559585,-11.628152,0.173913,0.406476,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,emerson-fittipaldi,Emerson Fittipaldi,lotus,DNF,2,16,1,21,1197.004515,1167.921724,-29.082791,0.108696,0.690351,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,mike-beuttler,Mike Beuttler,march,DNF,2,23,1,22,1011.412732,994.9168,-16.495933,0.108696,0.438614,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,jackie-oliver,Jackie Oliver,shadow,DNF,1,10,1,23,922.325575,908.524138,-13.801437,0.043478,0.319507,50.0,24
1973,10,1973-07-29,netherlands,Grote Prijs van Nederland 1973,230,rikky-von-opel,Rikky von Opel,ensign,DNS,,14,2,24,1006.098784,984.537951,-21.560834,0.0,0.431217,50.0,24
