year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,jody-scheckter,Jody Scheckter,tyrrell,1,72,1,0,1,1190.511305,1206.857709,16.346404,1.0,0.673072,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,patrick-depailler,Patrick Depailler,tyrrell,2,72,4,0,2,1154.123403,1170.908484,16.785081,0.961538,0.625837,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,niki-lauda,Niki Lauda,ferrari,3,72,5,0,3,1295.583222,1302.171367,6.588145,0.923077,0.791314,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,jacques-laffite,Jacques Laffite,ligier,4,72,7,0,4,1025.496177,1047.41449,21.918313,0.884615,0.446249,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,james-hunt,James Hunt,mclaren,5,72,8,0,5,1138.680066,1150.735126,12.055059,0.846154,0.605053,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,clay-regazzoni,Clay Regazzoni,ferrari,6,72,11,0,6,1187.089462,1194.036733,6.947272,0.807692,0.668747,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,ronnie-peterson,Ronnie Peterson,march,7,72,9,0,7,1026.392201,1042.478264,16.086063,0.769231,0.44751,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,carlos-pace,Carlos Pace,brabham,8,72,10,0,8,1087.815808,1097.632513,9.816705,0.730769,0.534435,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,tom-pryce,Tom Pryce,shadow,9,71,12,0,9,1129.092178,1134.109259,5.017081,0.692308,0.591966,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,vittorio-brambilla,Vittorio Brambilla,march,10,71,15,0,10,983.224519,996.533406,13.308886,0.653846,0.387668,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,jochen-mass,Jochen Mass,mclaren,11,71,13,0,11,1135.908407,1136.613486,0.705079,0.615385,0.601283,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,jean-pierre-jarier,Jean-Pierre Jarier,shadow,12,71,14,0,12,1034.052599,1039.983466,5.930868,0.576923,0.458306,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,alan-jones,Alan Jones,surtees,13,71,18,0,13,1054.095791,1056.685021,2.589229,0.538462,0.486677,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,arturo-merzario,Arturo Merzario,march,14,70,19,0,14,926.534037,935.8599,9.325863,0.5,0.313483,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,brett-lunger,Brett Lunger,surtees,15,70,24,0,15,1001.673275,1004.100779,2.427503,0.461538,0.412988,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,harald-ertl,Harald Ertl,hesketh,DNF,54,23,1,16,973.352796,975.790569,2.437773,0.423077,0.374321,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,hans-joachim-stuck,Hans-Joachim Stuck,march,DNF,52,20,1,17,1017.441435,1014.924911,-2.516524,0.384615,0.434946,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,mario-andretti,Mario Andretti,lotus,DNF,45,2,1,18,1012.284548,1008.205356,-4.079192,0.346154,0.427738,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,chris-amon,Chris Amon,ensign,DNF,38,3,1,19,1050.002232,1041.343188,-8.659044,0.307692,0.480873,50.0,27
1976,7,1976-06-13,sweden,Gislaved Sveriges Grand Prix 1976,271,michel-leclere,Michel Leclère,wolf-williams,DNF,20,25,1,20,1014.654798,1006.563948,-8.09085,0.269231,0.431048,50.0,27
