year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,mario-andretti,Mario Andretti,lotus,1,45,1,0,1,1629.170406,1638.511386,9.34098,1.0,0.610793,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,jody-scheckter,Jody Scheckter,wolf,2,45,4,0,2,1657.687977,1665.27858,7.590603,0.965517,0.649242,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,jacques-laffite,Jacques Laffite,ligier,3,45,7,0,3,1610.500912,1618.808172,8.307259,0.931034,0.584899,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,emerson-fittipaldi,Emerson Fittipaldi,fittipaldi,4,45,10,0,4,1578.477604,1587.045571,8.567967,0.896552,0.539553,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,didier-pironi,Didier Pironi,tyrrell,5,45,16,0,5,1537.952776,1547.088883,9.136107,0.862069,0.481398,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,hector-rebaque,Héctor Rebaque,lotus,6,45,18,0,6,1442.323307,1453.824004,11.500698,0.827586,0.34839,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,john-watson,John Watson,brabham,7,45,5,0,7,1578.663794,1584.742618,6.078823,0.793103,0.539819,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,gilles-villeneuve,Gilles Villeneuve,ferrari,8,45,15,0,8,1536.60247,1543.302327,6.699857,0.758621,0.47946,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,riccardo-patrese,Riccardo Patrese,arrows,9,44,14,0,9,1559.22963,1564.321785,5.092155,0.724138,0.511965,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,keke-rosberg,Keke Rosberg,wolf,10,42,19,0,10,1479.652405,1486.630965,6.97856,0.689655,0.398882,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,harald-ertl,Harald Ertl,ensign,11,41,23,0,11,1480.599167,1486.718679,6.119512,0.655172,0.400193,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,ronnie-peterson,Ronnie Peterson,lotus,DNF,36,2,1,12,1595.631129,1596.992622,1.361492,0.62069,0.563961,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,alan-jones,Alan Jones,williams,DNF,31,6,1,13,1592.684583,1592.904915,0.220332,0.568966,0.559785,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,nelson-piquet,Nelson Piquet,ensign,DNF,31,21,1,14,1500.0,1503.399577,3.399577,0.568966,0.427316,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,vittorio-brambilla,Vittorio Brambilla,surtees,DNF,24,20,1,15,1530.572508,1531.686767,1.114259,0.517241,0.470814,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,patrick-tambay,Patrick Tambay,mclaren,DNF,16,11,1,16,1544.017788,1543.841422,-0.176366,0.482759,0.490107,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,carlos-reutemann,Carlos Reutemann,ferrari,DNF,14,12,1,17,1650.560916,1645.964928,-4.595988,0.448276,0.639775,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,niki-lauda,Niki Lauda,brabham,DNF,11,3,1,18,1689.0605,1682.441122,-6.619377,0.413793,0.6896,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,jean-pierre-jabouille,Jean-Pierre Jabouille,renault,DNF,5,9,1,19,1485.420829,1484.758952,-0.661877,0.37931,0.406889,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,hans-joachim-stuck,Hans-Joachim Stuck,shadow,DNF,1,24,1,20,1528.905104,1525.524956,-3.380148,0.327586,0.468426,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,jochen-mass,Jochen Mass,ats-wheels,DNF,1,22,1,21,1588.486862,1583.057179,-5.429683,0.327586,0.553823,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,patrick-depailler,Patrick Depailler,tyrrell,DNF,0,13,1,22,1621.816305,1614.021346,-7.794958,0.275862,0.600652,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,brett-lunger,Brett Lunger,mclaren,DNPQ,,,1,23,1500.838795,1495.934123,-4.904671,0.224138,0.428499,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,rene-arnoux,René Arnoux,martini,DNPQ,,,1,24,1496.909397,1492.137547,-4.77185,0.224138,0.422965,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,rolf-stommelen,Rolf Stommelen,arrows,DSQ,42,17,2,25,1525.549668,1518.560629,-6.98904,0.172414,0.463624,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,james-hunt,James Hunt,mclaren,DSQ,34,8,2,26,1624.665978,1613.466136,-11.199842,0.137931,0.604591,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,arturo-merzario,Arturo Merzario,merzario,DNQ,,,2,27,1399.135218,1393.329531,-5.805687,0.051724,0.293628,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,clay-regazzoni,Clay Regazzoni,shadow,DNQ,,,2,28,1567.092206,1555.775563,-11.316643,0.051724,0.523251,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,jean-pierre-jarier,Jean-Pierre Jarier,ats-wheels,DNQ,,,2,29,1518.720405,1509.068901,-9.651504,0.051724,0.45387,24.0,30
1978,11,1978-07-30,germany,Grosser Preis von Deutschland 1978,rupert-keegan,Rupert Keegan,surtees,DNQ,,,2,30,1475.995026,1467.784479,-8.210546,0.051724,0.39383,24.0,30
