year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,nelson-piquet,Nelson Piquet,brabham,1,80,1,0,1,1538.871047,1551.566062,12.695015,1.0,0.471041,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,riccardo-patrese,Riccardo Patrese,arrows,2,80,8,0,2,1556.400795,1567.564212,11.163417,0.961538,0.496396,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,emerson-fittipaldi,Emerson Fittipaldi,fittipaldi,3,80,24,0,3,1585.647315,1594.873135,9.22582,0.923077,0.538668,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,john-watson,John Watson,mclaren,4,79,21,0,4,1619.084453,1626.242904,7.158452,0.884615,0.586347,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jody-scheckter,Jody Scheckter,ferrari,5,79,16,0,5,1702.818768,1706.373349,3.554581,0.846154,0.698046,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,didier-pironi,Didier Pironi,ligier,6,79,9,0,6,1595.126444,1601.256203,6.129759,0.807692,0.552286,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jochen-mass,Jochen Mass,arrows,7,79,17,0,7,1556.956274,1563.485003,6.52873,0.769231,0.4972,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,derek-daly,Derek Daly,tyrrell,8,79,14,0,8,1500.910281,1508.447199,7.536918,0.730769,0.416731,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,rene-arnoux,René Arnoux,renault,9,78,2,0,9,1539.900608,1545.175326,5.274718,0.692308,0.472528,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jean-pierre-jabouille,Jean-Pierre Jabouille,renault,10,71,11,0,10,1495.713484,1501.58002,5.866536,0.653846,0.409407,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,keke-rosberg,Keke Rosberg,fittipaldi,DNF,58,22,1,11,1502.313438,1507.033528,4.720091,0.615385,0.418714,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,clay-regazzoni,Clay Regazzoni,ensign,DNF,50,23,1,12,1592.132994,1592.827338,0.694344,0.576923,0.547992,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,bruno-giacomelli,Bruno Giacomelli,alfa-romeo,DNF,49,6,1,13,1523.434309,1525.585785,2.151476,0.538462,0.448817,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,alan-jones,Alan Jones,williams,DNF,47,5,1,14,1650.296418,1647.186447,-3.109971,0.5,0.629582,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,gilles-villeneuve,Gilles Villeneuve,ferrari,DNF,46,10,1,15,1643.330554,1639.525794,-3.80476,0.461538,0.62007,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,patrick-depailler,Patrick Depailler,alfa-romeo,DNF,40,3,1,16,1632.236089,1627.875945,-4.360144,0.423077,0.60475,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jacques-laffite,Jacques Laffite,ligier,DNF,36,13,1,17,1628.22759,1623.078361,-5.149229,0.384615,0.599167,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,eddie-cheever,Eddie Cheever,osella,DNF,11,19,1,18,1458.270249,1457.989507,-0.280742,0.346154,0.357851,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,carlos-reutemann,Carlos Reutemann,williams,DNF,3,7,1,19,1631.257443,1623.237651,-8.019792,0.269231,0.603389,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,elio-de-angelis,Elio de Angelis,lotus,DNF,3,20,1,20,1522.891475,1518.600101,-4.291373,0.269231,0.448038,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jean-pierre-jarier,Jean-Pierre Jarier,tyrrell,DNF,3,12,1,21,1560.232419,1554.647304,-5.585115,0.269231,0.501944,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,jan-lammers,Jan Lammers,ats-wheels,DNF,0,4,1,22,1464.748688,1459.642664,-5.106025,0.153846,0.366597,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,mario-andretti,Mario Andretti,lotus,DNF,0,15,1,23,1586.577772,1577.309909,-9.267863,0.153846,0.540007,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,ricardo-zunino,Ricardo Zunino,brabham,DNF,0,18,1,24,1530.295019,1522.979088,-7.315932,0.153846,0.458677,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,david-kennedy,David Kennedy,shadow,DNQ,,,2,25,1475.543941,1467.314768,-8.229174,0.038462,0.381344,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,geoff-lees,Geoff Lees,shadow,DNQ,,,2,26,1502.491748,1493.359632,-9.132116,0.038462,0.418966,24.0,27
1980,4,1980-03-30,united-states-west,1980 Toyota Grand Prix of Long Beach,stephen-south,Stephen South,mclaren,DNQ,,,2,27,1500.0,1490.952381,-9.047619,0.038462,0.415446,24.0,27
