year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,jacques-villeneuve,Jacques Villeneuve,williams,1,77,3,0,1,1175.927858,1195.089398,19.16154,1.0,0.616769,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,damon-hill,Damon Hill,williams,2,77,2,0,2,1282.167764,1292.056496,9.888733,0.947368,0.749594,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,jean-alesi,Jean Alesi,benetton,3,77,5,0,3,1190.690894,1203.595011,12.904117,0.894737,0.636654,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,mika-hakkinen,Mika Häkkinen,mclaren,4,76,7,0,4,1125.570459,1140.338013,14.767555,0.842105,0.546754,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,olivier-panis,Olivier Panis,ligier,5,76,11,0,5,1128.56436,1140.488791,11.924431,0.789474,0.550985,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,rubens-barrichello,Rubens Barrichello,jordan,6,75,13,0,6,1119.747731,1129.664338,9.916606,0.736842,0.53851,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,ukyo-katayama,Ukyo Katayama,tyrrell,7,74,14,0,7,946.064407,965.220223,19.155816,0.684211,0.301094,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,ricardo-rosset,Ricardo Rosset,footwork,8,74,18,0,8,970.861745,985.825663,14.963918,0.631579,0.332301,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,michael-schumacher,Michael Schumacher,ferrari,9,70,1,0,9,1184.821401,1182.329168,-2.492234,0.578947,0.628792,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,giovanni-lavaggi,Giovanni Lavaggi,minardi,10,69,20,0,10,952.506762,963.369252,10.862489,0.526316,0.309066,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,gerhard-berger,Gerhard Berger,benetton,DNF,64,6,1,11,1156.724901,1150.888626,-5.836275,0.473684,0.59041,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,heinz-harald-frentzen,Heinz-Harald Frentzen,sauber,DNF,50,10,1,12,1105.943553,1101.051083,-4.89247,0.421053,0.518902,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,johnny-herbert,Johnny Herbert,sauber,DNF,35,8,1,13,1103.986122,1096.601344,-7.384778,0.368421,0.516117,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,eddie-irvine,Eddie Irvine,ferrari,DNF,31,4,1,14,1048.543458,1042.460684,-6.082774,0.315789,0.437445,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,pedro-lamy,Pedro Lamy,minardi,DNF,24,19,1,15,1027.65138,1020.393615,-7.257765,0.263158,0.408313,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,david-coulthard,David Coulthard,mclaren,DNF,23,9,1,16,1163.519934,1144.056525,-19.463409,0.210526,0.599794,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,jos-verstappen,Jos Verstappen,footwork,DNF,10,17,1,17,965.347133,956.9798,-8.367333,0.157895,0.325241,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,martin-brundle,Martin Brundle,jordan,DNF,5,12,1,18,1110.729138,1089.706915,-21.022223,0.105263,0.525708,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,pedro-diniz,Pedro Diniz,ligier,DNF,1,15,1,19,1012.163167,995.441868,-16.721299,0.052632,0.387058,50.0,20
1996,12,1996-08-11,hungary,Marlboro Magyar Nagydíj 1996,593,mika-salo,Mika Salo,tyrrell,DNF,0,16,1,20,1078.965688,1054.941043,-24.024645,0.0,0.480493,50.0,20
