year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,jacques-villeneuve,Jacques Villeneuve,williams,1,70,2,0,1,1612.346597,1622.577602,10.231005,1.0,0.573708,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,damon-hill,Damon Hill,williams,2,70,1,0,2,1704.110182,1710.098996,5.988814,0.947368,0.697835,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,michael-schumacher,Michael Schumacher,ferrari,3,70,4,0,3,1685.207676,1690.513355,5.305678,0.894737,0.673667,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,jean-alesi,Jean Alesi,benetton,4,70,3,0,4,1656.04069,1661.016222,4.975532,0.842105,0.634791,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,eddie-irvine,Eddie Irvine,ferrari,5,70,6,0,5,1520.274592,1528.653119,8.378527,0.789474,0.440368,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,gerhard-berger,Gerhard Berger,benetton,6,70,5,0,6,1621.21381,1624.826271,3.612461,0.736842,0.586323,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,heinz-harald-frentzen,Heinz-Harald Frentzen,sauber,7,69,11,0,7,1547.349473,1552.260899,4.911426,0.684211,0.479568,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,johnny-herbert,Johnny Herbert,sauber,8,69,12,0,8,1566.268182,1569.255526,2.987344,0.631579,0.507106,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,martin-brundle,Martin Brundle,jordan,9,69,10,0,9,1585.70789,1586.754083,1.046193,0.578947,0.535356,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,olivier-panis,Olivier Panis,ligier,10,69,15,0,10,1569.961661,1570.293672,0.332011,0.526316,0.512482,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,mika-salo,Mika Salo,tyrrell,11,69,13,0,11,1532.392484,1532.772257,0.379773,0.473684,0.45786,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,ukyo-katayama,Ukyo Katayama,tyrrell,12,68,14,0,12,1462.022616,1463.520303,1.497687,0.421053,0.358649,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,david-coulthard,David Coulthard,mclaren,13,68,8,0,13,1577.73774,1574.008898,-3.728842,0.368421,0.523789,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,ricardo-rosset,Ricardo Rosset,footwork,14,67,17,0,14,1487.962044,1486.07457,-1.887475,0.315789,0.394434,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,giovanni-lavaggi,Giovanni Lavaggi,minardi,15,65,20,0,15,1462.666028,1460.353288,-2.31274,0.263158,0.359522,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,pedro-lamy,Pedro Lamy,minardi,16,65,19,0,16,1503.974683,1499.018269,-4.956414,0.210526,0.417044,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,mika-hakkinen,Mika Häkkinen,mclaren,DNF,52,7,1,17,1605.398559,1595.657709,-9.74085,0.157895,0.563763,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,jos-verstappen,Jos Verstappen,footwork,DNF,47,16,1,18,1467.142971,1460.894434,-6.248537,0.105263,0.365619,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,pedro-diniz,Pedro Diniz,ligier,DNF,46,18,1,19,1487.672361,1479.478835,-8.193526,0.052632,0.394029,24.0,20
1996,15,1996-09-22,portugal,Grande Prémio de Portugal 1996,rubens-barrichello,Rubens Barrichello,jordan,DNF,41,9,1,20,1577.941883,1565.363818,-12.578066,0.0,0.524086,24.0,20
