year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,jacques-villeneuve,Jacques Villeneuve,williams,1,72,1,0,1,1197.479251,1214.533472,17.054221,1.0,0.658916,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,eddie-irvine,Eddie Irvine,ferrari,2,72,7,0,2,1027.379075,1053.767734,26.388659,0.952381,0.424608,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,ralf-schumacher,Ralf Schumacher,jordan,3,72,6,0,3,981.351182,1008.482489,27.131307,0.904762,0.362136,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,johnny-herbert,Johnny Herbert,sauber,4,72,8,0,4,1084.158046,1101.802382,17.644336,0.857143,0.504256,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,mika-hakkinen,Mika Häkkinen,mclaren,5,72,17,0,5,1190.245131,1198.242407,7.997276,0.809524,0.649578,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,gerhard-berger,Gerhard Berger,benetton,6,72,12,0,6,1185.712048,1191.623479,5.911431,0.761905,0.643676,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,jean-alesi,Jean Alesi,benetton,7,72,11,0,7,1196.416344,1199.253124,2.83678,0.714286,0.65755,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,mika-salo,Mika Salo,tyrrell,8,71,19,0,8,1047.194101,1057.916106,10.722005,0.666667,0.452227,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,jarno-trulli,Jarno Trulli,minardi,9,71,18,0,9,1016.250202,1026.739987,10.489785,0.619048,0.409252,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,jan-magnussen,Jan Magnussen,stewart,10,66,15,0,10,992.582256,1002.298653,9.716397,0.571429,0.377101,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,nicola-larini,Nicola Larini,sauber,DNF,63,14,1,11,1010.78947,1016.891546,6.102076,0.52381,0.401768,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,pedro-diniz,Pedro Diniz,arrows,DNF,50,22,1,12,975.242649,981.347828,6.105179,0.47619,0.354087,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,shinji-nakano,Shinji Nakano,prost,DNF,49,20,1,13,1015.536468,1016.551453,1.014985,0.428571,0.408272,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,jos-verstappen,Jos Verstappen,tyrrell,DNF,43,16,1,14,962.00165,964.205344,2.203694,0.380952,0.336878,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,ukyo-katayama,Ukyo Katayama,minardi,DNF,37,21,1,15,979.14669,977.852188,-1.294502,0.333333,0.359223,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,damon-hill,Damon Hill,arrows,DNF,33,13,1,16,1225.510304,1205.092807,-20.417496,0.285714,0.694064,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,giancarlo-fisichella,Giancarlo Fisichella,jordan,DNF,24,9,1,17,999.565652,990.954627,-8.611024,0.214286,0.386506,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,rubens-barrichello,Rubens Barrichello,stewart,DNF,24,5,1,18,1085.670567,1071.065427,-14.605139,0.214286,0.506388,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,olivier-panis,Olivier Panis,prost,DNF,18,3,1,19,1135.228603,1113.586397,-21.642206,0.142857,0.575701,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,heinz-harald-frentzen,Heinz-Harald Frentzen,williams,DNF,5,2,1,20,1105.932489,1083.949524,-21.982965,0.095238,0.534897,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,david-coulthard,David Coulthard,mclaren,DNF,0,10,1,21,1131.160286,1103.846835,-27.31345,0.02381,0.570079,50.0,22
1997,3,1997-04-13,argentina,Gran Premio Marlboro de Argentina 1997,600,michael-schumacher,Michael Schumacher,ferrari,DNF,0,4,1,22,1258.290313,1222.838965,-35.451347,0.02381,0.732836,50.0,22
