year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,david-coulthard,David Coulthard,mclaren,1,62,1,0,1,1174.24733,1192.486575,18.239245,1.0,0.635215,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,michael-schumacher,Michael Schumacher,ferrari,2,62,3,0,2,1238.29523,1250.149161,11.853931,0.952381,0.715302,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,eddie-irvine,Eddie Irvine,ferrari,3,62,4,0,3,1128.762496,1145.304647,16.542151,0.904762,0.573919,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,jacques-villeneuve,Jacques Villeneuve,williams,4,62,6,0,4,1208.665015,1217.555201,8.890186,0.857143,0.679339,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,heinz-harald-frentzen,Heinz-Harald Frentzen,williams,5,62,8,0,5,1192.039682,1199.600231,7.560549,0.809524,0.658313,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,jean-alesi,Jean Alesi,sauber,6,61,12,0,6,1208.232148,1212.387435,4.155288,0.761905,0.678799,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,ralf-schumacher,Ralf Schumacher,jordan,7,60,9,0,7,977.19826,994.678575,17.480314,0.714286,0.364679,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,esteban-tuero,Esteban Tuero,minardi,8,60,19,0,8,989.059226,1003.371874,14.312648,0.666667,0.380414,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,mika-salo,Mika Salo,arrows,9,60,14,0,9,998.20719,1009.524806,11.317615,0.619048,0.392695,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,damon-hill,Damon Hill,jordan,10,57,7,0,10,1101.226865,1103.01173,1.784865,0.571429,0.535731,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,olivier-panis,Olivier Panis,prost,11,56,13,0,11,1129.034446,1126.510274,-2.524171,0.52381,0.574293,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,ricardo-rosset,Ricardo Rosset,tyrrell,DNF,48,22,1,12,986.123369,991.107975,4.984606,0.47619,0.376498,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,toranosuke-takagi,Toranosuke Takagi,tyrrell,DNF,40,15,1,13,983.77921,986.538696,2.759486,0.428571,0.373382,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,jarno-trulli,Jarno Trulli,prost,DNF,34,16,1,14,1028.605774,1025.940656,-2.665118,0.380952,0.434255,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,shinji-nakano,Shinji Nakano,minardi,DNF,27,21,1,15,984.62046,982.562168,-2.058293,0.333333,0.374499,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,pedro-diniz,Pedro Diniz,arrows,DNF,18,18,1,16,941.886356,940.20531,-1.681046,0.285714,0.319335,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,alexander-wurz,Alexander Wurz,benetton,DNF,17,5,1,17,1076.916769,1061.355667,-15.561102,0.190476,0.501698,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,giancarlo-fisichella,Giancarlo Fisichella,benetton,DNF,17,10,1,18,1124.525167,1105.644904,-18.880263,0.190476,0.568081,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,mika-hakkinen,Mika Häkkinen,mclaren,DNF,17,2,1,19,1168.3568,1146.508348,-21.848452,0.190476,0.627445,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,johnny-herbert,Johnny Herbert,sauber,DNF,12,11,1,20,1115.749872,1092.714661,-23.035211,0.095238,0.555942,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,jan-magnussen,Jan Magnussen,stewart,DNF,8,20,1,21,942.855507,929.209148,-13.646359,0.047619,0.320546,50.0,22
1998,4,1998-04-26,san-marino,Gran Premio di San Marino 1998,618,rubens-barrichello,Rubens Barrichello,stewart,DNF,0,17,1,22,973.344693,955.363824,-17.980869,0.0,0.359617,50.0,22
