year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,michael-schumacher,Michael Schumacher,ferrari,1,69,3,0,1,1250.603497,1264.125657,13.52216,1.0,0.729557,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,giancarlo-fisichella,Giancarlo Fisichella,benetton,2,69,4,0,2,1108.687719,1128.990742,20.303023,0.952381,0.54632,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,eddie-irvine,Eddie Irvine,ferrari,3,69,8,0,3,1140.683332,1156.402009,15.718677,0.904762,0.590388,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,alexander-wurz,Alexander Wurz,benetton,4,69,11,0,4,1069.146577,1087.452215,18.305637,0.857143,0.49103,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,rubens-barrichello,Rubens Barrichello,stewart,5,69,13,0,5,967.737673,990.586828,22.849155,0.809524,0.352541,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,jan-magnussen,Jan Magnussen,stewart,6,68,20,0,6,933.946995,956.556151,22.609156,0.761905,0.309722,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,shinji-nakano,Shinji Nakano,minardi,7,68,18,0,7,995.28403,1011.548048,16.264018,0.714286,0.389005,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,ricardo-rosset,Ricardo Rosset,tyrrell,8,68,22,0,8,953.989265,970.580668,16.591403,0.666667,0.334839,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,pedro-diniz,Pedro Diniz,arrows,9,68,19,0,9,949.709065,964.191274,14.48221,0.619048,0.329403,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,jacques-villeneuve,Jacques Villeneuve,williams,10,63,6,0,10,1226.910729,1220.396621,-6.514109,0.571429,0.701711,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,esteban-tuero,Esteban Tuero,minardi,DNF,53,21,1,11,982.609201,990.195923,7.586722,0.52381,0.372075,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,damon-hill,Damon Hill,jordan,DNF,42,10,1,12,1095.445076,1092.861699,-2.583377,0.47619,0.527858,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,olivier-panis,Olivier Panis,prost,DNF,39,15,1,13,1103.728858,1098.18654,-5.542318,0.428571,0.539418,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,heinz-harald-frentzen,Heinz-Harald Frentzen,williams,DNF,20,7,1,14,1170.931441,1158.431959,-12.499482,0.380952,0.630942,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,david-coulthard,David Coulthard,mclaren,DNF,18,1,1,15,1182.839737,1164.799787,-18.039949,0.285714,0.646513,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,johnny-herbert,Johnny Herbert,sauber,DNF,18,12,1,16,1111.065319,1097.869799,-13.19552,0.285714,0.549625,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,mika-salo,Mika Salo,arrows,DNF,18,17,1,17,1017.330695,1010.667886,-6.662809,0.285714,0.41897,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,jarno-trulli,Jarno Trulli,prost,DNF,0,14,1,18,1034.554268,1017.179271,-17.374997,0.095238,0.442738,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,jean-alesi,Jean Alesi,sauber,DNF,0,9,1,19,1196.75345,1168.296553,-28.456897,0.095238,0.664376,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,mika-hakkinen,Mika Häkkinen,mclaren,DNF,0,2,1,20,1185.348301,1157.622151,-27.72615,0.095238,0.649761,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,ralf-schumacher,Ralf Schumacher,jordan,DNF,0,5,1,21,998.215756,983.32993,-14.885827,0.095238,0.392955,50.0,22
1998,7,1998-06-07,canada,Grand Prix Player's du Canada 1998,621,toranosuke-takagi,Toranosuke Takagi,tyrrell,DNF,0,16,1,22,996.21088,981.460154,-14.750726,0.095238,0.390253,50.0,22
