year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,michael-schumacher,Michael Schumacher,ferrari,1,60,2,0,1,1724.885871,1731.303832,6.417961,1.0,0.732585,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,mika-hakkinen,Mika Häkkinen,mclaren,2,60,1,0,2,1619.564252,1628.104728,8.540476,0.952381,0.596528,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,eddie-irvine,Eddie Irvine,ferrari,3,60,5,0,3,1597.12387,1605.279842,8.155972,0.904762,0.56493,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,alexander-wurz,Alexander Wurz,benetton,4,59,11,0,4,1549.560824,1558.212727,8.651903,0.857143,0.496647,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,giancarlo-fisichella,Giancarlo Fisichella,benetton,5,59,10,0,5,1570.605442,1577.386332,6.78089,0.809524,0.526987,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,ralf-schumacher,Ralf Schumacher,jordan,6,59,21,0,6,1479.703378,1488.459558,8.756179,0.761905,0.397064,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,jacques-villeneuve,Jacques Villeneuve,williams,7,59,3,0,7,1662.565505,1663.98915,1.423644,0.714286,0.654967,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,shinji-nakano,Shinji Nakano,minardi,8,58,19,0,8,1488.777925,1494.943973,6.166048,0.666667,0.409748,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,toranosuke-takagi,Toranosuke Takagi,tyrrell,9,56,17,0,9,1480.101576,1485.415882,5.314306,0.619048,0.397618,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,jean-alesi,Jean Alesi,sauber,DNF,53,8,1,10,1649.6422,1648.050386,-1.591814,0.571429,0.637754,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,pedro-diniz,Pedro Diniz,arrows,DNF,45,12,1,11,1453.201465,1457.115104,3.91364,0.52381,0.360741,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,olivier-panis,Olivier Panis,prost,DNF,40,22,1,12,1579.0346,1577.52483,-1.509771,0.47619,0.539098,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,rubens-barrichello,Rubens Barrichello,stewart,DNF,39,16,1,13,1497.122818,1497.292444,0.169626,0.428571,0.421504,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,jos-verstappen,Jos Verstappen,stewart,DNF,38,15,1,14,1469.758662,1469.702346,-0.056316,0.380952,0.383299,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,david-coulthard,David Coulthard,mclaren,DNF,37,4,1,15,1617.228967,1610.419098,-6.809869,0.309524,0.593268,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,jarno-trulli,Jarno Trulli,prost,DNF,37,14,1,16,1495.475441,1492.843775,-2.631666,0.309524,0.419177,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,esteban-tuero,Esteban Tuero,minardi,DNF,29,18,1,17,1482.503406,1478.023083,-4.480323,0.214286,0.400966,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,ricardo-rosset,Ricardo Rosset,tyrrell,DNF,29,20,1,18,1458.546007,1454.857588,-3.688418,0.214286,0.36797,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,johnny-herbert,Johnny Herbert,sauber,DNF,27,9,1,19,1578.354336,1568.29656,-10.057776,0.119048,0.538122,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,mika-salo,Mika Salo,arrows,DNF,27,13,1,20,1503.545697,1496.068338,-7.477359,0.119048,0.430604,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,heinz-harald-frentzen,Heinz-Harald Frentzen,williams,DNF,15,6,1,21,1602.926199,1590.313338,-12.612861,0.047619,0.573155,24.0,22
1998,9,1998-07-12,great-britain,1998 RAC British Grand Prix,damon-hill,Damon Hill,jordan,DNF,13,7,1,22,1591.740632,1578.366159,-13.374473,0.0,0.55727,24.0,22
