year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,michael-schumacher,Michael Schumacher,ferrari,1,62,3,0,1,1743.232683,1749.310312,6.077629,1.0,0.746765,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,david-coulthard,David Coulthard,mclaren,2,62,2,0,2,1621.366203,1630.026398,8.660195,0.952381,0.591539,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,rubens-barrichello,Rubens Barrichello,stewart,3,61,6,0,3,1487.26366,1499.353375,12.089715,0.904762,0.401024,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,damon-hill,Damon Hill,jordan,4,61,8,0,4,1594.603826,1601.882009,7.278183,0.857143,0.553885,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,giancarlo-fisichella,Giancarlo Fisichella,benetton,5,61,16,0,5,1594.31175,1600.457031,6.145281,0.809524,0.55347,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,jean-alesi,Jean Alesi,sauber,6,61,13,0,6,1629.806626,1633.614632,3.808006,0.761905,0.603238,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,mika-salo,Mika Salo,bar,7,59,19,0,7,1464.874499,1473.130431,8.255932,0.714286,0.370289,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,luca-badoer,Luca Badoer,minardi,8,59,22,0,8,1468.759697,1475.74614,6.986442,0.666667,0.375565,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,marc-gene,Marc Gené,minardi,9,59,21,0,9,1504.61015,1509.259834,4.649684,0.619048,0.425311,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,johnny-herbert,Johnny Herbert,stewart,10,58,12,0,10,1521.657424,1524.584235,2.92681,0.571429,0.449478,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,alex-zanardi,Alex Zanardi,williams,11,58,10,0,11,1478.756676,1481.98598,3.229304,0.52381,0.389255,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,pedro-diniz,Pedro Diniz,sauber,DNF,49,15,1,12,1440.491126,1443.812211,3.321085,0.47619,0.337812,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,olivier-panis,Olivier Panis,prost,DNF,48,11,1,13,1545.157377,1543.848747,-1.30863,0.428571,0.483098,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,eddie-irvine,Eddie Irvine,ferrari,DNF,46,4,1,14,1639.968136,1633.727171,-6.240965,0.357143,0.617183,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,heinz-harald-frentzen,Heinz-Harald Frentzen,jordan,DNF,46,7,1,15,1629.4319,1623.538035,-5.893866,0.357143,0.602721,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,toranosuke-takagi,Toranosuke Takagi,arrows,DNF,29,20,1,16,1491.457355,1488.549811,-2.907544,0.285714,0.406862,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,ralf-schumacher,Ralf Schumacher,williams,DNF,28,9,1,17,1538.630944,1532.975515,-5.65543,0.238095,0.473738,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,mika-hakkinen,Mika Häkkinen,mclaren,DNF,17,1,1,18,1663.254715,1652.262661,-10.992054,0.190476,0.648478,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,alexander-wurz,Alexander Wurz,benetton,DNF,5,17,1,19,1557.628087,1548.461199,-9.166888,0.119048,0.501001,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,pedro-de-la-rosa,Pedro de la Rosa,arrows,DNF,5,18,1,20,1511.748588,1504.156125,-7.592463,0.119048,0.4354,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,jacques-villeneuve,Jacques Villeneuve,bar,DNF,0,5,1,21,1652.69816,1638.043659,-14.654501,0.02381,0.634414,24.0,22
1999,3,1999-05-02,san-marino,Gran Premio Warsteiner di San Marino 1999,jarno-trulli,Jarno Trulli,prost,DNF,0,14,1,22,1486.146974,1477.131047,-9.015927,0.02381,0.399473,24.0,22
