year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,felipe-massa,Felipe Massa,ferrari,1,58,1,0,1,1692.223239,1700.370676,8.147437,1.0,0.660523,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,lewis-hamilton,Lewis Hamilton,mclaren,2,58,3,0,2,1651.873573,1660.041384,8.167811,0.947368,0.607043,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,kimi-raikkonen,Kimi Räikkönen,ferrari,3,58,4,0,3,1753.857562,1757.678086,3.820524,0.894737,0.735548,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,robert-kubica,Robert Kubica,bmw-sauber,4,58,5,0,4,1604.068516,1611.302234,7.233718,0.842105,0.5407,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,nick-heidfeld,Nick Heidfeld,bmw-sauber,5,58,9,0,5,1653.57011,1657.893157,4.323046,0.789474,0.609347,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,fernando-alonso,Fernando Alonso,renault,6,58,7,0,6,1780.894289,1780.209029,-0.68526,0.736842,0.765395,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,mark-webber,Mark Webber,red-bull,7,58,6,0,7,1510.595218,1517.203866,6.608648,0.684211,0.40885,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,nico-rosberg,Nico Rosberg,williams,8,58,11,0,8,1535.732806,1540.235985,4.503179,0.631579,0.443946,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,david-coulthard,David Coulthard,red-bull,9,58,10,0,9,1541.641683,1544.681899,3.040216,0.578947,0.452272,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,jarno-trulli,Jarno Trulli,toyota,10,58,8,0,10,1572.22883,1572.965858,0.737028,0.526316,0.495606,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,jenson-button,Jenson Button,honda,11,57,13,0,11,1573.975104,1573.389475,-0.585629,0.473684,0.498085,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,heikki-kovalainen,Heikki Kovalainen,mclaren,12,57,2,0,12,1588.568344,1586.222691,-2.345653,0.421053,0.518788,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,timo-glock,Timo Glock,toyota,13,57,15,0,13,1499.296904,1498.699832,-0.597071,0.368421,0.393299,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,rubens-barrichello,Rubens Barrichello,honda,14,57,12,0,14,1581.081229,1576.464062,-4.617166,0.315789,0.508171,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,nelson-piquet-jr,Nelson Piquet Jr.,renault,15,57,17,0,15,1489.043006,1486.254731,-2.788275,0.263158,0.379336,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,adrian-sutil,Adrian Sutil,force-india,16,57,19,0,16,1424.708023,1422.654352,-2.05367,0.210526,0.296096,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,sebastian-vettel,Sebastian Vettel,toro-rosso,17,57,14,0,17,1455.826467,1451.568579,-4.257888,0.157895,0.335307,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,sebastien-bourdais,Sébastien Bourdais,toro-rosso,DNF,24,18,1,18,1489.122501,1482.542169,-6.580332,0.105263,0.379444,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,kazuki-nakajima,Kazuki Nakajima,williams,DNF,1,16,1,19,1513.633985,1504.983719,-8.650266,0.052632,0.413059,24.0,20
2008,5,2008-05-11,turkey,2008 Formula 1 Petrol Ofisi Turkish Grand Prix,giancarlo-fisichella,Giancarlo Fisichella,force-india,DNF,0,20,1,20,1617.223763,1603.803364,-13.420399,0.0,0.559183,24.0,20
