year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,jenson-button,Jenson Button,brawn,1,58,1,0,1,1528.414772,1541.978635,13.563863,1.0,0.434839,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,rubens-barrichello,Rubens Barrichello,brawn,2,58,2,0,2,1533.391967,1545.526461,12.134494,0.947368,0.441765,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,jarno-trulli,Jarno Trulli,toyota,3,58,PL,0,3,1579.462886,1588.782653,9.319767,0.894737,0.506413,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,timo-glock,Timo Glock,toyota,4,58,PL,0,4,1540.277761,1549.655299,9.377538,0.842105,0.451375,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,fernando-alonso,Fernando Alonso,renault,5,58,10,0,5,1763.740405,1764.793006,1.052601,0.789474,0.745615,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,nico-rosberg,Nico Rosberg,williams,6,58,5,0,6,1541.209359,1548.029323,6.819963,0.736842,0.452677,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,sebastien-buemi,Sébastien Buemi,toro-rosso,7,58,13,0,7,1500.0,1506.923025,6.923025,0.684211,0.395751,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,sebastien-bourdais,Sébastien Bourdais,toro-rosso,8,58,17,0,8,1478.110283,1484.476081,6.365798,0.631579,0.366337,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,adrian-sutil,Adrian Sutil,force-india,9,58,16,0,9,1380.498583,1388.469729,7.971147,0.578947,0.246816,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,nick-heidfeld,Nick Heidfeld,bmw-sauber,10,58,9,0,10,1676.439749,1673.725758,-2.71399,0.526316,0.639399,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,giancarlo-fisichella,Giancarlo Fisichella,force-india,11,58,15,0,11,1513.063029,1514.50472,1.441691,0.473684,0.413614,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,mark-webber,Mark Webber,red-bull,12,57,8,0,12,1536.197185,1535.606229,-0.590956,0.421053,0.445676,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,sebastian-vettel,Sebastian Vettel,red-bull,13,56,3,0,13,1528.413136,1526.819159,-1.593977,0.368421,0.434837,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,robert-kubica,Robert Kubica,bmw-sauber,14,55,4,0,14,1656.533677,1649.400668,-7.133009,0.315789,0.612998,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,kimi-raikkonen,Kimi Räikkönen,ferrari,15,55,7,0,15,1723.021215,1712.578956,-10.442259,0.263158,0.698252,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,felipe-massa,Felipe Massa,ferrari,DNF,45,6,1,16,1723.624507,1711.901536,-11.722971,0.210526,0.698983,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,nelson-piquet-jr,Nelson Piquet Jr.,renault,DNF,24,14,1,17,1496.301628,1490.713514,-5.588114,0.157895,0.390733,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,kazuki-nakajima,Kazuki Nakajima,williams,DNF,17,11,1,18,1499.368614,1492.417495,-6.951119,0.105263,0.394893,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,heikki-kovalainen,Heikki Kovalainen,mclaren,DNF,0,12,1,19,1616.205589,1604.080515,-12.125074,0.052632,0.557843,24.0,20
2009,1,2009-03-29,australia,2009 Formula 1 ING Australian Grand Prix,lewis-hamilton,Lewis Hamilton,mclaren,DSQ,58,18,2,20,1701.152562,1685.044145,-16.108417,0.0,0.671184,24.0,20
