year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,lewis-hamilton,Lewis Hamilton,mclaren,1,58,2,0,1,1227.019083,1243.133142,16.114058,1.0,0.677719,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,jenson-button,Jenson Button,mclaren,2,58,4,0,2,1226.817469,1240.769688,13.952219,0.956522,0.677477,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,mark-webber,Mark Webber,red-bull,3,58,1,0,3,1232.490908,1243.930963,11.440055,0.913043,0.684242,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,michael-schumacher,Michael Schumacher,mercedes,4,58,5,0,4,1275.180136,1282.008774,6.828638,0.869565,0.732992,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,nico-rosberg,Nico Rosberg,mercedes,5,58,6,0,5,1196.431331,1205.723637,9.292306,0.826087,0.640241,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,robert-kubica,Robert Kubica,renault,6,58,7,0,6,1198.787852,1205.75903,6.971178,0.782609,0.643185,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,felipe-massa,Felipe Massa,ferrari,7,58,8,0,7,1255.349964,1256.764576,1.414612,0.73913,0.710838,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,fernando-alonso,Fernando Alonso,ferrari,8,58,12,0,8,1225.584102,1226.566787,0.982686,0.695652,0.675998,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,adrian-sutil,Adrian Sutil,force-india,9,58,11,0,9,986.416442,1000.836762,14.42032,0.652174,0.363768,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,kamui-kobayashi,Kamui Kobayashi,sauber,10,58,10,0,10,970.314178,983.574486,13.260308,0.608696,0.343489,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,pedro-de-la-rosa,Pedro de la Rosa,sauber,11,58,13,0,11,984.799396,994.974619,10.175223,0.565217,0.361713,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,jaime-alguersuari,Jaime Alguersuari,toro-rosso,12,58,16,0,12,1000.688771,1007.672629,6.983858,0.521739,0.382062,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,vitantonio-liuzzi,Vitantonio Liuzzi,force-india,13,57,18,0,13,995.882725,1001.002243,5.119518,0.478261,0.375871,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,rubens-barrichello,Rubens Barrichello,williams,14,57,15,0,14,1173.069105,1164.278244,-8.790861,0.434783,0.6106,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,vitaly-petrov,Vitaly Petrov,renault,15,57,9,0,15,1008.382918,1008.346407,-0.036511,0.391304,0.392035,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,sebastien-buemi,Sébastien Buemi,toro-rosso,16,57,14,0,16,964.198633,964.794951,0.596319,0.347826,0.3359,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,nico-hulkenberg,Nico Hülkenberg,williams,17,57,17,0,17,980.19069,977.614138,-2.576552,0.304348,0.355879,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,timo-glock,Timo Glock,virgin,18,55,21,0,18,1029.098366,1021.1815,-7.916866,0.26087,0.419207,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,lucas-di-grassi,Lucas di Grassi,virgin,19,55,PL,0,19,963.985469,958.073217,-5.912252,0.217391,0.335636,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,karun-chandhok,Karun Chandhok,hrt,20,52,24,0,20,976.763722,967.881269,-8.882454,0.173913,0.351562,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,bruno-senna,Bruno Senna,hrt,DNF,46,22,1,21,965.163685,954.830769,-10.332916,0.130435,0.337093,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,sebastian-vettel,Sebastian Vettel,red-bull,DNF,39,3,1,22,1251.680026,1220.695733,-30.984293,0.086957,0.706642,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,heikki-kovalainen,Heikki Kovalainen,lotus-racing,DNF,33,20,1,23,1061.381532,1040.444039,-20.937493,0.043478,0.462228,50.0,24
2010,7,2010-05-30,turkey,2010 Formula 1 Turkish Grand Prix,827,jarno-trulli,Jarno Trulli,lotus-racing,DNF,32,19,1,24,1032.435651,1011.25455,-21.181101,0.0,0.423622,50.0,24
