year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,sebastian-vettel,Sebastian Vettel,red-bull,1,60,1,0,1,1428.550347,1435.848533,7.298185,1.0,0.854036,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,jenson-button,Jenson Button,mclaren,2,60,4,0,2,1328.157632,1337.385178,9.227546,0.956522,0.771971,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,fernando-alonso,Fernando Alonso,ferrari,3,60,3,0,3,1354.122221,1360.010422,5.888201,0.913043,0.795279,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,mark-webber,Mark Webber,red-bull,4,60,2,0,4,1338.919523,1343.307511,4.387987,0.869565,0.781805,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,michael-schumacher,Michael Schumacher,mercedes,5,60,11,0,5,1129.314364,1142.998659,13.684296,0.826087,0.552401,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,nico-rosberg,Nico Rosberg,mercedes,6,60,7,0,6,1194.617818,1202.187134,7.569316,0.782609,0.631222,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,lewis-hamilton,Lewis Hamilton,mclaren,7,60,5,0,7,1298.860812,1298.618421,-0.242391,0.73913,0.743978,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,jaime-alguersuari,Jaime Alguersuari,toro-rosso,8,59,10,0,8,1047.755386,1060.047318,12.291931,0.695652,0.449814,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,adrian-sutil,Adrian Sutil,force-india,9,59,8,0,9,1097.991124,1104.93717,6.946046,0.652174,0.513253,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,sergio-perez,Sergio Pérez,sauber,10,59,20,0,10,1018.675067,1028.446245,9.771179,0.608696,0.413272,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,vitaly-petrov,Vitaly Petrov,renault,11,59,16,0,11,1057.087987,1062.268782,5.180796,0.565217,0.461601,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,bruno-senna,Bruno Senna,renault,12,59,14,0,12,947.007833,956.784059,9.776226,0.521739,0.326215,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,paul-di-resta,Paul di Resta,force-india,13,59,12,0,13,1081.78589,1081.057855,-0.728035,0.478261,0.492822,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,heikki-kovalainen,Heikki Kovalainen,lotus-racing,14,58,18,0,14,945.778996,951.279189,5.500193,0.434783,0.324779,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,rubens-barrichello,Rubens Barrichello,williams,15,58,15,0,15,1073.290634,1068.75152,-4.539114,0.391304,0.482087,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,jerome-dambrosio,Jérôme d'Ambrosio,virgin,16,57,21,0,16,921.352139,923.905672,2.553533,0.347826,0.296755,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,narain-karthikeyan,Narain Karthikeyan,hrt,17,57,24,0,17,892.26573,894.242021,1.976291,0.304348,0.264822,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,daniel-ricciardo,Daniel Ricciardo,hrt,18,57,23,0,18,943.503259,940.440443,-3.062816,0.26087,0.322126,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,jarno-trulli,Jarno Trulli,lotus-racing,19,55,19,0,19,905.71406,902.614672,-3.099388,0.217391,0.279379,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,felipe-massa,Felipe Massa,ferrari,DNF,32,6,1,20,1238.948057,1213.56941,-25.378647,0.173913,0.681486,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,sebastien-buemi,Sébastien Buemi,toro-rosso,DNF,24,9,1,21,1038.347633,1022.971731,-15.375902,0.130435,0.437953,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,pastor-maldonado,Pastor Maldonado,williams,DNF,12,13,1,22,985.681207,971.404565,-14.276642,0.086957,0.372489,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,timo-glock,Timo Glock,virgin,DNF,2,22,1,23,902.280286,890.672836,-11.60745,0.043478,0.275627,50.0,24
2011,17,2011-10-30,india,2011 Formula 1 Airtel Grand Prix of India,kamui-kobayashi,Kamui Kobayashi,sauber,DNF,0,17,1,24,1067.548694,1043.807353,-23.741341,0.0,0.474827,50.0,24
