year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,sebastian-vettel,Sebastian Vettel,red-bull,1,55,2,0,1,1369.930694,1379.683451,9.752757,1.0,0.804945,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,mark-webber,Mark Webber,red-bull,2,55,1,0,2,1321.659352,1331.475709,9.816357,0.956522,0.760195,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,fernando-alonso,Fernando Alonso,ferrari,3,55,4,0,3,1341.526073,1348.216211,6.690138,0.913043,0.779241,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,felipe-massa,Felipe Massa,ferrari,4,55,6,0,4,1229.4548,1239.862874,10.408074,0.869565,0.661404,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,kimi-raikkonen,Kimi Räikkönen,lotus-f1,5,55,5,0,5,1311.879741,1315.658786,3.779045,0.826087,0.750506,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,nico-hulkenberg,Nico Hülkenberg,force-india,6,55,8,0,6,1104.319967,1118.039136,13.719169,0.782609,0.508225,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,romain-grosjean,Romain Grosjean,lotus-f1,7,55,7,0,7,1028.838783,1045.144438,16.305655,0.73913,0.413017,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,jean-eric-vergne,Jean-Éric Vergne,toro-rosso,8,55,16,0,8,1001.04213,1016.885847,15.843716,0.695652,0.378778,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,daniel-ricciardo,Daniel Ricciardo,toro-rosso,9,55,21,0,9,1033.821104,1045.468527,11.647423,0.652174,0.419225,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,lewis-hamilton,Lewis Hamilton,mclaren,10,55,3,0,10,1228.567836,1225.983609,-2.584227,0.608696,0.66038,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,sergio-perez,Sergio Pérez,sauber,11,55,12,0,11,1081.048311,1085.372695,4.324384,0.565217,0.47873,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,paul-di-resta,Paul di Resta,force-india,12,55,14,0,12,1145.241337,1143.340553,-1.900785,0.521739,0.559755,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,michael-schumacher,Michael Schumacher,mercedes,13,55,10,0,13,1087.07312,1086.667835,-0.405285,0.478261,0.486367,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,pastor-maldonado,Pastor Maldonado,williams,14,55,15,0,14,999.994748,1002.858733,2.863985,0.434783,0.377503,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,bruno-senna,Bruno Senna,williams,15,55,17,0,15,1026.69235,1025.740134,-0.952216,0.391304,0.410349,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,vitaly-petrov,Vitaly Petrov,caterham,16,54,18,0,16,979.670388,979.410493,-0.259896,0.347826,0.353024,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,heikki-kovalainen,Heikki Kovalainen,caterham,17,54,19,0,17,952.892714,952.027858,-0.864856,0.304348,0.321645,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,timo-glock,Timo Glock,marussia,18,54,20,0,18,892.770175,893.026379,0.256203,0.26087,0.255745,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,charles-pic,Charles Pic,marussia,19,53,24,0,19,927.772769,923.978581,-3.794188,0.217391,0.293275,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,narain-karthikeyan,Narain Karthikeyan,hrt,20,53,23,0,20,822.739667,821.998002,-0.741665,0.173913,0.188746,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,kamui-kobayashi,Kamui Kobayashi,sauber,DNF,16,13,1,21,1102.530031,1082.666904,-19.863127,0.108696,0.505958,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,pedro-de-la-rosa,Pedro de la Rosa,hrt,DNF,16,22,1,22,905.458309,897.439985,-8.018324,0.108696,0.269062,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,nico-rosberg,Nico Rosberg,mercedes,DNF,1,9,1,23,1208.794564,1179.105477,-29.689086,0.043478,0.63726,50.0,24
2012,16,2012-10-14,korea,2012 Formula 1 Korean Grand Prix,jenson-button,Jenson Button,mclaren,DNF,0,11,1,24,1288.620155,1252.286904,-36.333251,0.0,0.726665,50.0,24
