year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,kimi-raikkonen,Kimi Räikkönen,lotus-f1,1,58,7,0,1,1320.224458,1333.189324,12.964866,1.0,0.740703,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,fernando-alonso,Fernando Alonso,ferrari,2,58,5,0,2,1378.177478,1385.935275,7.757797,0.952381,0.797225,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,sebastian-vettel,Sebastian Vettel,red-bull,3,58,1,0,3,1397.894626,1402.400232,4.505606,0.904762,0.81465,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,felipe-massa,Felipe Massa,ferrari,4,58,4,0,4,1268.612854,1277.263011,8.650157,0.857143,0.68414,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,lewis-hamilton,Lewis Hamilton,mercedes,5,58,3,0,5,1203.415405,1213.606552,10.191146,0.809524,0.605701,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,mark-webber,Mark Webber,red-bull,6,58,2,0,6,1282.289015,1285.401457,3.112442,0.761905,0.699656,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,adrian-sutil,Adrian Sutil,force-india,7,58,12,0,7,1126.074674,1136.48824,10.413565,0.714286,0.506014,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,paul-di-resta,Paul di Resta,force-india,8,58,9,0,8,1121.192613,1129.545911,8.353298,0.666667,0.499601,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,jenson-button,Jenson Button,mclaren,9,58,10,0,9,1288.462063,1284.087493,-4.374569,0.619048,0.706539,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,romain-grosjean,Romain Grosjean,lotus-f1,10,58,8,0,10,1042.825237,1051.538274,8.713038,0.571429,0.397168,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,sergio-perez,Sergio Pérez,mclaren,11,58,15,0,11,1042.003356,1048.388215,6.38486,0.52381,0.396112,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,jean-eric-vergne,Jean-Éric Vergne,toro-rosso,12,58,13,0,12,1018.161406,1023.680321,5.518915,0.47619,0.365812,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,esteban-gutierrez,Esteban Gutiérrez,sauber,13,57,18,0,13,1000.0,1004.267517,4.267517,0.428571,0.343221,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,valtteri-bottas,Valtteri Bottas,williams,14,57,16,0,14,1000.0,1001.886564,1.886564,0.380952,0.343221,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,jules-bianchi,Jules Bianchi,marussia,15,57,19,0,15,1000.0,999.505612,-0.494388,0.333333,0.343221,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,charles-pic,Charles Pic,caterham,16,56,22,0,16,925.807284,927.242435,1.43515,0.285714,0.257011,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,max-chilton,Max Chilton,marussia,17,56,20,0,17,1000.0,994.743707,-5.256293,0.238095,0.343221,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,giedo-van-der-garde,Giedo van der Garde,caterham,18,56,21,0,18,1000.0,992.362755,-7.637245,0.190476,0.343221,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,daniel-ricciardo,Daniel Ricciardo,toro-rosso,DNF,39,14,1,19,1061.257103,1047.350265,-13.906838,0.142857,0.420994,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,nico-rosberg,Nico Rosberg,mercedes,DNF,26,6,1,20,1137.63691,1116.34006,-21.29685,0.095238,0.521175,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,pastor-maldonado,Pastor Maldonado,williams,DNF,24,17,1,21,1019.040564,1003.075646,-15.964918,0.047619,0.366917,50.0,22
2013,1,2013-03-17,australia,2013 Formula 1 Rolex Australian Grand Prix,879,nico-hulkenberg,Nico Hülkenberg,sauber,DNS,,11,2,22,1124.903559,1099.679738,-25.22382,0.0,0.504476,50.0,22
