year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,nico-rosberg,Nico Rosberg,mercedes,1,67,1,0,1,1323.868096,1336.685504,12.817409,1.0,0.743652,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,valtteri-bottas,Valtteri Bottas,williams,2,67,2,0,2,1135.113488,1156.784166,21.670678,0.952381,0.518967,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,lewis-hamilton,Lewis Hamilton,mercedes,3,67,20,0,3,1326.981271,1334.876527,7.895256,0.904762,0.746857,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,sebastian-vettel,Sebastian Vettel,red-bull,4,67,6,0,4,1371.385778,1374.732268,3.34649,0.857143,0.790213,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,fernando-alonso,Fernando Alonso,ferrari,5,67,7,0,5,1388.509946,1388.70041,0.190465,0.809524,0.805715,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,daniel-ricciardo,Daniel Ricciardo,red-bull,6,67,5,0,6,1171.294246,1181.1248,9.830555,0.761905,0.565294,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,nico-hulkenberg,Nico Hülkenberg,force-india,7,67,9,0,7,1212.557428,1217.42752,4.870091,0.714286,0.616884,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,jenson-button,Jenson Button,mclaren,8,67,11,0,8,1243.739338,1244.346994,0.607656,0.666667,0.654514,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,kevin-magnussen,Kevin Magnussen,mclaren,9,66,4,0,9,1085.406527,1093.618071,8.211544,0.619048,0.454817,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,sergio-perez,Sergio Pérez,force-india,10,66,10,0,10,1137.208971,1139.697047,2.488076,0.571429,0.521667,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,kimi-raikkonen,Kimi Räikkönen,ferrari,11,66,12,0,11,1225.141798,1219.720589,-5.421209,0.52381,0.632234,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,pastor-maldonado,Pastor Maldonado,lotus-f1,12,66,18,0,12,974.210249,982.170252,7.960003,0.47619,0.31699,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,jean-eric-vergne,Jean-Éric Vergne,toro-rosso,13,66,13,0,13,989.089031,993.79102,4.701989,0.428571,0.334532,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,esteban-gutierrez,Esteban Gutiérrez,sauber,14,66,16,0,14,982.06911,984.806242,2.737131,0.380952,0.32621,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,jules-bianchi,Jules Bianchi,marussia,15,66,17,0,15,924.367996,927.973962,3.605966,0.333333,0.261214,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,kamui-kobayashi,Kamui Kobayashi,caterham,16,65,19,0,16,1024.850489,1020.233589,-4.6169,0.285714,0.378052,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,max-chilton,Max Chilton,marussia,17,65,21,0,17,904.959323,904.818961,-0.140363,0.238095,0.240902,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,marcus-ericsson,Marcus Ericsson,caterham,18,65,PL,0,18,947.703232,942.891282,-4.81195,0.190476,0.286715,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,adrian-sutil,Adrian Sutil,sauber,DNF,47,15,1,19,1012.722918,1001.710811,-11.012108,0.142857,0.363099,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,daniil-kvyat,Daniil Kvyat,toro-rosso,DNF,44,8,1,20,1016.210453,1002.60333,-13.607123,0.095238,0.367381,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,romain-grosjean,Romain Grosjean,lotus-f1,DNF,26,14,1,21,1118.274041,1095.793217,-22.480823,0.047619,0.497236,50.0,22
2014,10,2014-07-20,germany,Formula 1 Grosser Preis Santander von Deutschland 2014,907,felipe-massa,Felipe Massa,williams,DNF,0,3,1,22,1180.429607,1151.586775,-28.842832,0.0,0.576857,50.0,22
