year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,sebastian-vettel,Sebastian Vettel,ferrari,1,61,1,0,1,1406.647208,1416.534368,9.88716,1.0,0.802257,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,daniel-ricciardo,Daniel Ricciardo,red-bull,2,61,2,0,2,1213.53672,1231.237433,17.700713,0.947368,0.593354,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,kimi-raikkonen,Kimi Räikkönen,ferrari,3,61,3,0,3,1226.399292,1240.670911,14.271619,0.894737,0.609304,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,nico-rosberg,Nico Rosberg,mercedes,4,61,6,0,4,1389.5418,1392.303277,2.761477,0.842105,0.786876,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,valtteri-bottas,Valtteri Bottas,williams,5,61,7,0,5,1253.849591,1261.193695,7.344104,0.789474,0.642592,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,daniil-kvyat,Daniil Kvyat,red-bull,6,61,4,0,6,1120.718144,1133.85431,13.136166,0.736842,0.474119,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,sergio-perez,Sergio Pérez,force-india,7,61,13,0,7,1147.886675,1156.623627,8.736952,0.684211,0.509471,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,max-verstappen,Max Verstappen,toro-rosso,8,61,8,0,8,1043.260142,1056.112861,12.852719,0.631579,0.374525,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,carlos-sainz-jr,Carlos Sainz Jr.,toro-rosso,9,61,14,0,9,1014.495122,1026.494185,11.999063,0.578947,0.338966,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,felipe-nasr,Felipe Nasr,sauber,10,61,16,0,10,1041.359439,1049.068142,7.708704,0.526316,0.372142,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,marcus-ericsson,Marcus Ericsson,sauber,11,61,17,0,11,1004.25107,1011.605534,7.354463,0.473684,0.326595,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,pastor-maldonado,Pastor Maldonado,lotus-f1,12,61,18,0,12,946.20068,954.246482,8.045803,0.421053,0.260137,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,romain-grosjean,Romain Grosjean,lotus-f1,13,59,10,0,13,1073.087954,1070.888546,-2.199408,0.368421,0.412409,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,alexander-rossi,Alexander Rossi,marussia,14,59,20,0,14,1000.0,999.713886,-0.286114,0.315789,0.321512,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,will-stevens,Will Stevens,marussia,15,59,19,0,15,939.665608,940.168716,0.503108,0.263158,0.253096,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,jenson-button,Jenson Button,mclaren,DNF,52,15,1,16,1096.50027,1084.895153,-11.605117,0.210526,0.442629,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,fernando-alonso,Fernando Alonso,mclaren,DNF,33,12,1,17,1132.790018,1116.192771,-16.597247,0.157895,0.48984,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,lewis-hamilton,Lewis Hamilton,mercedes,DNF,32,5,1,18,1472.686293,1435.1837,-37.502593,0.105263,0.855315,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,felipe-massa,Felipe Massa,williams,DNF,30,9,1,19,1274.079497,1243.392434,-30.687062,0.052632,0.666373,50.0,20
2015,13,2015-09-20,singapore,2015 Formula 1 Singapore Airlines Singapore Grand Prix,nico-hulkenberg,Nico Hülkenberg,force-india,DNF,12,11,1,20,1116.395669,1092.97116,-23.42451,0.0,0.46849,50.0,20
