year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,valtteri-bottas,Valtteri Bottas,mercedes,1,55,1,0,1,1356.099452,1367.934741,11.835288,1.0,0.763294,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,lewis-hamilton,Lewis Hamilton,mercedes,2,55,2,0,2,1512.73264,1515.785186,3.052546,0.947368,0.886318,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,sebastian-vettel,Sebastian Vettel,ferrari,3,55,3,0,3,1377.432201,1383.007569,5.575368,0.894737,0.783229,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,kimi-raikkonen,Kimi Räikkönen,ferrari,4,55,5,0,4,1276.978847,1285.028573,8.049726,0.842105,0.681111,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,max-verstappen,Max Verstappen,red-bull,5,55,6,0,5,1223.027305,1231.57448,8.547175,0.789474,0.61853,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,nico-hulkenberg,Nico Hülkenberg,renault,6,55,7,0,6,1048.315459,1065.267279,16.95182,0.736842,0.397806,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,sergio-perez,Sergio Pérez,force-india,7,55,8,0,7,1227.757197,1230.757979,3.000781,0.684211,0.624195,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,esteban-ocon,Esteban Ocon,force-india,8,55,9,0,8,1135.698684,1141.798084,6.0994,0.631579,0.509591,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,fernando-alonso,Fernando Alonso,mclaren,9,54,11,0,9,1040.565303,1050.109804,9.544501,0.578947,0.388057,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,felipe-massa,Felipe Massa,williams,10,54,10,0,10,1145.919538,1146.102914,0.183376,0.526316,0.522648,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,romain-grosjean,Romain Grosjean,haas,11,54,16,0,11,1046.539277,1050.445139,3.905862,0.473684,0.395567,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,stoffel-vandoorne,Stoffel Vandoorne,mclaren,12,54,13,0,12,1007.119458,1010.836657,3.7172,0.421053,0.346709,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,kevin-magnussen,Kevin Magnussen,haas,13,54,14,0,13,1027.945794,1027.751522,-0.194272,0.368421,0.372306,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,pascal-wehrlein,Pascal Wehrlein,sauber,14,54,18,0,14,932.586118,935.338934,2.752816,0.315789,0.260733,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,brendon-hartley,Brendon Hartley,toro-rosso,15,54,20,0,15,981.577976,978.928849,-2.649127,0.263158,0.31614,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,pierre-gasly,Pierre Gasly,toro-rosso,16,54,17,0,16,1006.012686,999.270804,-6.741882,0.210526,0.345364,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,marcus-ericsson,Marcus Ericsson,sauber,17,54,19,0,17,936.161093,930.825192,-5.335901,0.157895,0.264613,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,lance-stroll,Lance Stroll,williams,18,54,15,0,18,1059.034816,1043.729533,-15.305283,0.105263,0.411369,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,carlos-sainz-jr,Carlos Sainz Jr.,renault,DNF,31,12,1,19,1063.998192,1045.745964,-18.252228,0.052632,0.417676,50.0,20
2017,20,2017-11-26,abu-dhabi,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,976,daniel-ricciardo,Daniel Ricciardo,red-bull,DNF,20,4,1,20,1289.327551,1254.590385,-34.737166,0.0,0.694743,50.0,20
