year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,sebastian-vettel,Sebastian Vettel,ferrari,1,57,1,0,1,1393.415004,1403.429872,10.014868,1.0,0.799703,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,valtteri-bottas,Valtteri Bottas,mercedes,2,57,3,0,2,1360.598268,1369.448823,8.850555,0.947368,0.770357,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,lewis-hamilton,Lewis Hamilton,mercedes,3,57,9,0,3,1518.658886,1518.869666,0.21078,0.894737,0.890521,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,pierre-gasly,Pierre Gasly,toro-rosso,4,57,5,0,4,987.368657,1012.980455,25.611799,0.842105,0.329869,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,kevin-magnussen,Kevin Magnussen,haas,5,57,6,0,5,1016.720667,1037.916704,21.196037,0.789474,0.365553,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,nico-hulkenberg,Nico Hülkenberg,renault,6,57,7,0,6,1078.174303,1092.867114,14.692811,0.736842,0.442986,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,fernando-alonso,Fernando Alonso,mclaren,7,56,13,0,7,1069.246782,1081.877419,12.630637,0.684211,0.431598,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,stoffel-vandoorne,Stoffel Vandoorne,mclaren,8,56,14,0,8,1021.909808,1034.890149,12.980341,0.631579,0.371972,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,marcus-ericsson,Marcus Ericsson,sauber,9,56,17,0,9,920.263871,936.529033,16.265162,0.578947,0.253644,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,esteban-ocon,Esteban Ocon,force-india,10,56,8,0,10,1136.636399,1137.070827,0.434429,0.526316,0.517627,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,carlos-sainz-jr,Carlos Sainz Jr.,renault,11,56,10,0,11,1052.002052,1055.201439,3.199388,0.473684,0.409696,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,charles-leclerc,Charles Leclerc,sauber,12,56,19,0,12,1001.211317,1004.93617,3.724853,0.421053,0.346556,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,romain-grosjean,Romain Grosjean,haas,13,56,16,0,13,1040.613434,1039.267927,-1.345507,0.368421,0.395331,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,lance-stroll,Lance Stroll,williams,14,56,20,0,14,1039.587068,1035.674476,-3.912592,0.315789,0.394041,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,sergey-sirotkin,Sergey Sirotkin,williams,15,56,18,0,15,982.790264,979.727534,-3.062731,0.263158,0.324413,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,sergio-perez,Sergio Pérez,force-india,16,56,12,0,16,1222.748447,1202.088123,-20.660324,0.210526,0.623733,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,brendon-hartley,Brendon Hartley,toro-rosso,17,56,11,0,17,976.145045,968.212221,-7.932824,0.157895,0.316551,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,kimi-raikkonen,Kimi Räikkönen,ferrari,DNF,35,2,1,18,1295.000372,1265.01367,-29.986702,0.105263,0.704997,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,max-verstappen,Max Verstappen,red-bull,DNF,3,15,1,19,1236.674834,1207.303421,-29.371413,0.052632,0.64006,50.0,20
2018,2,2018-04-08,bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,978,daniel-ricciardo,Daniel Ricciardo,red-bull,DNF,1,4,1,20,1263.622263,1230.082697,-33.539566,0.0,0.670791,50.0,20
