year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,lewis-hamilton,Lewis Hamilton,mercedes,1,55,1,0,1,1969.803132,1972.623115,2.819983,1.0,0.882501,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,max-verstappen,Max Verstappen,red-bull,2,55,2,0,2,1768.164284,1773.969986,5.805702,0.947368,0.705464,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,charles-leclerc,Charles Leclerc,ferrari,3,55,3,0,3,1645.561802,1653.727105,8.165303,0.894737,0.554516,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,valtteri-bottas,Valtteri Bottas,mercedes,4,55,20,0,4,1829.182897,1830.929004,1.746107,0.842105,0.769351,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,sebastian-vettel,Sebastian Vettel,ferrari,5,55,4,0,5,1818.575365,1819.309756,0.734391,0.789474,0.758874,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,alexander-albon,Alexander Albon,red-bull,6,55,5,0,6,1575.714043,1582.335593,6.621549,0.736842,0.460944,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,sergio-perez,Sergio Pérez,racing-point,7,54,10,0,7,1614.486115,1618.59202,4.105905,0.684211,0.513131,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,lando-norris,Lando Norris,mclaren,8,54,6,0,8,1534.153961,1539.58336,5.429399,0.631579,0.405354,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,daniil-kvyat,Daniil Kvyat,toro-rosso,9,54,13,0,9,1531.759205,1536.001467,4.242262,0.578947,0.402186,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,carlos-sainz-jr,Carlos Sainz Jr.,mclaren,10,54,8,0,10,1597.33767,1598.207409,0.869739,0.526316,0.490077,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,daniel-ricciardo,Daniel Ricciardo,renault,11,54,7,0,11,1619.062051,1617.968137,-1.093914,0.473684,0.519264,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,nico-hulkenberg,Nico Hülkenberg,renault,12,54,9,0,12,1551.973527,1551.781108,-0.192419,0.421053,0.42907,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,kimi-raikkonen,Kimi Räikkönen,alfa-romeo,13,54,17,0,13,1664.072952,1659.024575,-5.048378,0.368421,0.57877,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,kevin-magnussen,Kevin Magnussen,haas,14,54,14,0,14,1500.458361,1499.364639,-1.093723,0.315789,0.361361,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,romain-grosjean,Romain Grosjean,haas,15,54,15,0,15,1476.645876,1475.012441,-1.633436,0.263158,0.331218,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,antonio-giovinazzi,Antonio Giovinazzi,alfa-romeo,16,54,16,0,16,1487.976221,1484.738141,-3.23808,0.210526,0.345446,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,george-russell,George Russell,williams,17,54,18,0,17,1449.78476,1446.411844,-3.372915,0.157895,0.298433,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,pierre-gasly,Pierre Gasly,toro-rosso,18,53,11,0,18,1578.269978,1569.651021,-8.618956,0.105263,0.464386,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,robert-kubica,Robert Kubica,williams,19,53,19,0,19,1505.563108,1497.995803,-7.567305,0.052632,0.367936,24.0,20
2019,21,2019-12-01,abu-dhabi,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,lance-stroll,Lance Stroll,racing-point,DNF,45,12,1,20,1500.735487,1492.054273,-8.681214,0.0,0.361717,24.0,20
