year,round,date,grandPrixId,officialName,careerRaceNumber,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,max-verstappen,Max Verstappen,red-bull,1,63,3,0,1,1317.481631,1331.228085,13.746454,1.0,0.725071,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,lewis-hamilton,Lewis Hamilton,mercedes,2,63,1,0,2,1598.018143,1598.964118,0.945975,0.947368,0.928449,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,lando-norris,Lando Norris,mclaren,3,63,7,0,3,1192.105703,1207.824837,15.719134,0.894737,0.580354,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,charles-leclerc,Charles Leclerc,ferrari,4,63,4,0,4,1199.810303,1212.417779,12.607476,0.842105,0.589956,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,carlos-sainz-jr,Carlos Sainz Jr.,ferrari,5,63,11,0,5,1203.651001,1213.388885,9.737884,0.789474,0.594716,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,daniel-ricciardo,Daniel Ricciardo,mclaren,6,63,6,0,6,1228.179786,1233.788873,5.609087,0.736842,0.62466,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,pierre-gasly,Pierre Gasly,alphatauri,7,63,5,0,7,1124.264619,1133.792024,9.527405,0.684211,0.493662,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,lance-stroll,Lance Stroll,aston-martin,8,63,10,0,8,1090.850796,1099.910212,9.059416,0.631579,0.450391,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,esteban-ocon,Esteban Ocon,alpine,9,63,9,0,9,1119.503962,1124.076489,4.572527,0.578947,0.487497,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,fernando-alonso,Fernando Alonso,alpine,10,63,15,0,10,994.537498,1004.380184,9.842686,0.526316,0.329462,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,sergio-perez,Sergio Pérez,red-bull,11,63,2,0,11,1215.46055,1208.682959,-6.777591,0.473684,0.609236,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,yuki-tsunoda,Yuki Tsunoda,alphatauri,12,63,20,0,12,1012.208462,1015.717929,3.509466,0.421053,0.350863,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,kimi-raikkonen,Kimi Räikkönen,alfa-romeo,13,63,16,0,13,1070.989009,1068.170177,-2.818832,0.368421,0.424798,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,antonio-giovinazzi,Antonio Giovinazzi,alfa-romeo,14,62,17,0,14,978.408624,978.679711,0.271087,0.315789,0.310368,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,sebastian-vettel,Sebastian Vettel,aston-martin,15,61,PL,0,15,1157.88726,1144.19499,-13.69227,0.263158,0.537003,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,mick-schumacher,Mick Schumacher,haas,16,61,18,0,16,993.78741,987.885507,-5.901902,0.210526,0.328564,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,nikita-mazepin,Nikita Mazepin,haas,17,61,19,0,17,983.261094,975.352569,-7.908525,0.157895,0.316065,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,george-russell,George Russell,williams,DNF,30,12,1,18,940.392463,930.975378,-9.417084,0.078947,0.267289,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,valtteri-bottas,Valtteri Bottas,mercedes,DNF,30,8,1,19,1388.079269,1352.396406,-35.682863,0.078947,0.792605,50.0,20
2021,2,2021-04-18,emilia-romagna,Formula 1 Pirelli Gran Premio del Made in Italy e dell'Emilia Romagna 2021,1037,nicholas-latifi,Nicholas Latifi,williams,DNF,0,14,1,20,932.750395,919.800865,-12.94953,0.0,0.258991,50.0,20
