year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,lewis-hamilton,Lewis Hamilton,mercedes,1,53,4,0,1,1972.456123,1975.183061,2.726938,1.0,0.886378,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,max-verstappen,Max Verstappen,red-bull,2,53,20,0,2,1774.06427,1779.694787,5.630516,0.947368,0.712764,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,carlos-sainz-jr,Carlos Sainz Jr.,ferrari,3,53,2,0,3,1675.660587,1682.892946,7.23236,0.894737,0.593389,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,daniel-ricciardo,Daniel Ricciardo,mclaren,4,53,5,0,4,1686.584678,1692.216832,5.632154,0.842105,0.607432,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,valtteri-bottas,Valtteri Bottas,mercedes,5,53,16,0,5,1797.94769,1799.164057,1.216367,0.789474,0.738792,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,fernando-alonso,Fernando Alonso,alpine,6,53,6,0,6,1568.671799,1575.528481,6.856682,0.736842,0.451147,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,lando-norris,Lando Norris,mclaren,7,53,1,0,7,1663.043055,1665.616392,2.573337,0.684211,0.576988,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,kimi-raikkonen,Kimi Räikkönen,alfa-romeo,8,53,13,0,8,1557.070478,1561.772244,4.701766,0.631579,0.435672,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,sergio-perez,Sergio Pérez,red-bull,9,53,8,0,9,1673.020659,1672.756062,-0.264597,0.578947,0.589972,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,george-russell,George Russell,williams,10,53,3,0,10,1459.715323,1464.873428,5.158105,0.526316,0.311395,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,lance-stroll,Lance Stroll,aston-martin,11,53,7,0,11,1540.462647,1541.902975,1.440328,0.473684,0.413671,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,sebastian-vettel,Sebastian Vettel,aston-martin,12,52,10,0,12,1650.107703,1646.772901,-3.334803,0.421053,0.560003,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,pierre-gasly,Pierre Gasly,alphatauri,13,52,11,0,13,1607.659705,1604.419325,-3.24038,0.368421,0.503437,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,esteban-ocon,Esteban Ocon,alpine,14,52,9,0,14,1585.465949,1581.677395,-3.788554,0.315789,0.473646,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,charles-leclerc,Charles Leclerc,ferrari,15,52,19,0,15,1665.009482,1657.415933,-7.593549,0.263158,0.579556,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,antonio-giovinazzi,Antonio Giovinazzi,alfa-romeo,16,52,17,0,16,1475.260711,1472.386495,-2.874216,0.210526,0.330285,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,yuki-tsunoda,Yuki Tsunoda,alphatauri,17,52,12,0,17,1497.377597,1492.577523,-4.800074,0.157895,0.357898,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,nikita-mazepin,Nikita Mazepin,haas,18,51,15,0,18,1434.169451,1429.941994,-4.227457,0.105263,0.281407,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,nicholas-latifi,Nicholas Latifi,williams,19,47,18,0,19,1445.382242,1439.579812,-5.80243,0.052632,0.294399,24.0,20
2021,15,2021-09-26,russia,Formula 1 VTB Russian Grand Prix 2021,mick-schumacher,Mick Schumacher,haas,DNF,32,14,1,20,1451.642568,1444.400073,-7.242494,0.0,0.301771,24.0,20
