year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,max-verstappen,Max Verstappen,red-bull,1,50,4,0,1,1802.193759,1808.465455,6.271697,1.0,0.738679,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,charles-leclerc,Charles Leclerc,ferrari,2,50,2,0,2,1690.754633,1698.902691,8.148059,0.947368,0.607866,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,carlos-sainz-jr,Carlos Sainz Jr.,ferrari,3,50,3,0,3,1708.489442,1714.838178,6.348736,0.894737,0.630206,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,sergio-perez,Sergio Pérez,red-bull,4,50,1,0,4,1672.020816,1678.220067,6.199251,0.842105,0.583803,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,george-russell,George Russell,mercedes,5,50,6,0,5,1461.742214,1473.243859,11.501645,0.789474,0.310238,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,esteban-ocon,Esteban Ocon,alpine,6,50,5,0,6,1599.153549,1605.14092,5.987371,0.736842,0.487368,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,lando-norris,Lando Norris,mclaren,7,50,11,0,7,1660.203133,1662.982182,2.779049,0.684211,0.568417,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,pierre-gasly,Pierre Gasly,alphatauri,8,50,9,0,8,1609.69998,1612.822541,3.122561,0.631579,0.501472,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,kevin-magnussen,Kevin Magnussen,haas,9,50,10,0,9,1461.329916,1467.790745,6.460829,0.578947,0.309746,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,lewis-hamilton,Lewis Hamilton,mercedes,10,50,15,0,10,1985.352409,1976.597606,-8.754803,0.526316,0.891099,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,guanyu-zhou,Guanyu Zhou,alfa-romeo,11,50,12,0,11,1504.039087,1506.710429,2.671342,0.473684,0.362378,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,nico-hulkenberg,Nico Hülkenberg,aston-martin,12,50,17,0,12,1546.300577,1546.3966,0.096023,0.421053,0.417052,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,lance-stroll,Lance Stroll,aston-martin,13,49,13,0,13,1541.643484,1540.623188,-1.020295,0.368421,0.410933,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,alexander-albon,Alexander Albon,williams,14,47,16,0,14,1625.154093,1620.202675,-4.951418,0.315789,0.522099,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,valtteri-bottas,Valtteri Bottas,alfa-romeo,DNF,36,8,1,15,1785.00054,1774.032381,-10.968159,0.263158,0.720165,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,daniel-ricciardo,Daniel Ricciardo,mclaren,DNF,35,14,1,16,1663.40435,1654.083031,-9.321318,0.184211,0.572599,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,fernando-alonso,Fernando Alonso,alpine,DNF,35,7,1,17,1582.923004,1576.168032,-6.754971,0.184211,0.465668,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,nicholas-latifi,Nicholas Latifi,williams,DNF,14,18,1,18,1426.092342,1422.162999,-3.929343,0.105263,0.268986,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,mick-schumacher,Mick Schumacher,haas,DNS,,,2,19,1424.475194,1418.694427,-5.780767,0.026316,0.267181,24.0,20
2022,2,2022-03-27,saudi-arabia,Formula 1 stc Saudi Arabian Grand Prix 2022,yuki-tsunoda,Yuki Tsunoda,alphatauri,DNS,,,2,20,1505.352825,1497.247338,-8.105487,0.026316,0.364044,24.0,20
