year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,max-verstappen,Max Verstappen,red-bull,1,53,2,0,1,1830.585082,1836.22471,5.639628,1.0,0.765015,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,lewis-hamilton,Lewis Hamilton,mercedes,2,53,4,0,2,1953.351912,1955.215338,1.863426,0.947368,0.869726,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,george-russell,George Russell,mercedes,3,53,6,0,3,1556.501793,1567.818779,11.316986,0.894737,0.423196,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,sergio-perez,Sergio Pérez,red-bull,4,53,3,0,4,1702.334166,1707.733435,5.399269,0.842105,0.617136,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,carlos-sainz-jr,Carlos Sainz Jr.,ferrari,5,53,19,0,5,1696.151827,1700.477817,4.32599,0.789474,0.609224,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,fernando-alonso,Fernando Alonso,alpine,6,53,7,0,6,1589.009872,1595.492786,6.482914,0.736842,0.466721,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,lando-norris,Lando Norris,mclaren,7,53,5,0,7,1668.563951,1671.22525,2.661299,0.684211,0.573323,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,esteban-ocon,Esteban Ocon,alpine,8,53,10,0,8,1619.264756,1622.2426,2.977845,0.631579,0.507502,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,daniel-ricciardo,Daniel Ricciardo,mclaren,9,53,9,0,9,1634.796008,1636.009454,1.213446,0.578947,0.528387,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,lance-stroll,Lance Stroll,aston-martin,10,53,15,0,10,1540.564711,1543.54509,2.980379,0.526316,0.402133,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,sebastian-vettel,Sebastian Vettel,aston-martin,11,53,12,0,11,1608.624347,1608.156944,-0.467403,0.473684,0.493159,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,pierre-gasly,Pierre Gasly,alphatauri,12,53,14,0,12,1591.7539,1590.569182,-1.184718,0.421053,0.470416,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,alexander-albon,Alexander Albon,williams,13,53,13,0,13,1586.793741,1584.506136,-2.287604,0.368421,0.463738,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,valtteri-bottas,Valtteri Bottas,alfa-romeo,14,53,11,0,14,1748.231685,1739.63609,-8.595595,0.315789,0.673939,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,mick-schumacher,Mick Schumacher,haas,15,53,17,0,15,1433.217616,1433.053054,-0.164561,0.263158,0.270015,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,guanyu-zhou,Guanyu Zhou,alfa-romeo,16,47,16,0,16,1482.841085,1480.009402,-2.831683,0.210526,0.328513,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,nicholas-latifi,Nicholas Latifi,williams,DNF,40,18,1,17,1418.430712,1416.132581,-2.29813,0.157895,0.25365,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,kevin-magnussen,Kevin Magnussen,haas,DNF,37,20,1,18,1467.195455,1462.293421,-4.902034,0.105263,0.309515,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,charles-leclerc,Charles Leclerc,ferrari,DNF,17,1,1,19,1713.949593,1699.416842,-14.532751,0.026316,0.631847,24.0,20
2022,12,2022-07-24,france,Formula 1 Lenovo Grand Prix de France 2022,yuki-tsunoda,Yuki Tsunoda,alphatauri,DNF,17,8,1,20,1494.402407,1486.805703,-7.596703,0.026316,0.342845,24.0,20
