year,round,date,grandPrixId,officialName,driverId,driverName,constructorId,positionRaw,laps,gridPosition,rankKeyTier,rankInRace,eloBefore,eloAfter,eloDelta,actualScore,expectedScore,kUsed,nParticipants
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,oscar-piastri,Oscar Piastri,mclaren,1,51,2,0,1,1676.969193,1687.368494,10.399301,1.0,0.566696,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,charles-leclerc,Charles Leclerc,ferrari,2,51,1,0,2,1773.44733,1779.732035,6.284704,0.947368,0.685506,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,george-russell,George Russell,mercedes,3,51,5,0,3,1689.901135,1697.374707,7.473571,0.894737,0.583338,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,lando-norris,Lando Norris,mclaren,4,51,15,0,4,1772.556629,1776.339692,3.783063,0.842105,0.684478,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,max-verstappen,Max Verstappen,red-bull,5,51,6,0,5,1951.811297,1950.219768,-1.591529,0.789474,0.855787,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,fernando-alonso,Fernando Alonso,aston-martin,6,51,7,0,6,1656.896855,1661.607188,4.710333,0.736842,0.540578,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,alexander-albon,Alexander Albon,williams,7,51,9,0,7,1523.73081,1531.356539,7.625729,0.684211,0.366472,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,franco-colapinto,Franco Colapinto,williams,8,51,8,0,8,1501.92397,1508.939463,7.015493,0.631579,0.339267,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,lewis-hamilton,Lewis Hamilton,mercedes,9,51,PL,0,9,1845.282685,1840.865534,-4.417151,0.578947,0.762995,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,oliver-bearman,Oliver Bearman,haas,10,51,10,0,10,1507.78842,1512.103671,4.315251,0.526316,0.346514,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,nico-hulkenberg,Nico Hülkenberg,haas,11,51,12,0,11,1523.329972,1525.915217,2.585245,0.473684,0.365966,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,pierre-gasly,Pierre Gasly,alpine,12,51,18,0,12,1550.750375,1551.230951,0.480576,0.421053,0.401029,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,daniel-ricciardo,Daniel Ricciardo,rb,13,51,14,0,13,1560.688336,1559.596254,-1.092082,0.368421,0.413924,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,guanyu-zhou,Guanyu Zhou,kick-sauber,14,51,17,0,14,1434.432356,1435.761208,1.328852,0.315789,0.260421,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,esteban-ocon,Esteban Ocon,alpine,15,50,PL,0,15,1557.265954,1553.754368,-3.511586,0.263158,0.409474,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,valtteri-bottas,Valtteri Bottas,kick-sauber,16,50,16,0,16,1495.476089,1492.576022,-2.900067,0.210526,0.331362,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,sergio-perez,Sergio Pérez,red-bull,17,49,4,0,17,1757.101997,1744.897809,-12.204187,0.157895,0.666403,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,carlos-sainz-jr,Carlos Sainz Jr.,ferrari,18,49,3,0,18,1764.677199,1750.9959,-13.681299,0.105263,0.675317,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,lance-stroll,Lance Stroll,aston-martin,19,45,13,0,19,1560.297684,1551.638859,-8.658826,0.052632,0.413416,24.0,20
2024,17,2024-09-15,azerbaijan,Formula 1 Qatar Airways Azerbaijan Grand Prix 2024,yuki-tsunoda,Yuki Tsunoda,rb,DNF,14,11,1,20,1495.226614,1487.281222,-7.945392,0.0,0.331058,24.0,20
